judul,full_text,class,
Kubica Kalahkan Rossi di Reli Monza,"Monza - Valentino Rossi gagal jadi juara saat turun di Reli Monza. Dia dikalahkan pebalap mobil sungguhan, yakni Robert Kubica yang adalah mantan driver F1.

Kubica dan Rossi terlibat persaingan sengit di hari terakhir reli yang digelar Minggu (30/11/2014) waktu setempat. Dalam balapan tersebut Kubica mengendarai Ford Fiesta RS WRC, sementara Rossi juga menggeber Fiesta.

Rossi, yang sudah tiga kali jadi juara di Reli Monza, mengawali hari terakhir reli dalam posisi unggul tujuh detik atas Kubica. Namun saat menyentuh garis finis Kubica berhasil unggul telak atas Rossi dengan perbedaan waktu mencapai 17 detik.

""Melakukan pemilihan ban yang tepat adalah tantangan terbesar. Karena kondisi (cuaca) terus berubah setiap saat dan tidak pernah sama di banyak bagian lintasan, seringkali yang terjadi adalah kami kesulitan untuk mengambil tindakan,"" sahut Kubica di Autosport.

""Di stage terakhir kami memakai ban yang sama dengan Valentino dan saya lihat selisih waktunya kami bisa lebih cepat, untuk satu alasan Rossi lebih lambat dibanding sebelumnya. Jadi saya tahu kalau saya bisa terus mempertahankan kece+C1patan maka saya akan punya kesempatan menang,"" lanjut dia.",?,
Pilihan Terbaik dan Sejarah di Buku Harian,"Momen penting dalam karier Taufik Hidayat bukan hanya ketika mendapatkan larangan bermain sepakbola dan menjadi juara Porseni. Pertanyaan sang ayah, Aris Haris, ketika ulang tahun ke-14 menjadi titik pancang kariernya di bulutangkis.

Dari menjadi juara Porseni, Taufik pun diyakini punya potensi besar di bulutangkis. Sudah begitu, dia juga tak punya lawan sepadan di usianya. Terpaksa sang ayah Aris Haris mengadu Taufik dengan para pemain dewasa.

“Saya sampai harus sediakan uang Rp 10.000 untuk mencari lawan buat Taufik. Sudah nggak ada lagi anak-anak sepantaran yang bisa menandingi dia,” kata Aris.

Cara itu masih terus dipakai meskipun Taufik sudah mengasah ilmu di SGS Bandung.

“Sering kali saya memang main lawan orang-orang tua teman papa,"" kenang Taufik.

Tambahan ilmu di SGS Bandung makin membuat Taufik tak terbendung. Hingga akhirnya di usia 14 tahun sang ayah menanyakan keseriusan Taufik di bulutangkis",?,
"Jangan Cuma Minta Maaf, Ketum PSSI dan BTN Diminta Mundur karena Terbukti Gagal","Jakarta - Hasil buruk yang didapatkan tim nasional dalam laga kedua AFF Suzuki Cup 2014 seharusnya membawa konsekuensi kepada pengurus PSSI dan BTN. Jika masih mempunyai rasa malu, Djohar Arifin Husin dan La Nyalla M. Mattalitti diminta meletakkan jabatan.",?,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
